01/29/2026-14:21:14.941305  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.12:49752
01/29/2026-14:21:19.163798  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:59237 -> 149.154.166.110:443
01/29/2026-14:22:02.132540  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 95.100.171.35:80 -> 10.0.50.12:59352
01/29/2026-14:22:10.254163  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:59588 -> 10.0.40.1:53
01/29/2026-14:22:10.373766  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:49712 -> 149.154.166.110:443
01/29/2026-14:23:01.538235  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:57087 -> 149.154.166.110:443
01/29/2026-14:23:52.745872  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:51071 -> 149.154.166.110:443
01/29/2026-14:24:24.809891  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.11:52544
01/29/2026-14:24:37.041921  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:61399 -> 149.154.166.110:443
01/29/2026-14:24:38.219363  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:61400 -> 149.154.166.110:443
01/29/2026-14:24:43.181455  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:61401 -> 149.154.166.110:443
01/29/2026-14:24:44.409083  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:61402 -> 149.154.166.110:443
01/29/2026-14:24:55.299313  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:55998 -> 149.154.166.110:443
01/29/2026-14:24:56.480649  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:55999 -> 149.154.166.110:443
01/29/2026-14:25:00.817840  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:56000 -> 149.154.166.110:443
01/29/2026-14:25:02.048937  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:56001 -> 149.154.166.110:443
01/29/2026-14:25:19.956086  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:56008 -> 149.154.166.110:443
01/29/2026-14:25:20.192447  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:56010 -> 149.154.166.110:443
01/29/2026-14:25:21.442666  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:56012 -> 149.154.166.110:443
01/29/2026-14:25:37.304090  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.40.13:56009
01/29/2026-14:26:06.425096  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:62420 -> 149.154.166.110:443
01/29/2026-14:26:07.606097  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:62421 -> 149.154.166.110:443
01/29/2026-14:26:20.287505  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:62425 -> 149.154.166.110:443
01/29/2026-14:26:21.503515  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:62426 -> 149.154.166.110:443
01/29/2026-14:26:26.528210  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:62427 -> 149.154.166.110:443
01/29/2026-14:26:27.761741  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:62428 -> 149.154.166.110:443
01/29/2026-14:27:18.826997  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:56787 -> 10.0.40.1:53
01/29/2026-14:27:18.845468  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:56787 -> 10.0.40.1:53
01/29/2026-14:27:18.957479  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:63977 -> 149.154.166.110:443
01/29/2026-14:28:10.099994  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:62285 -> 149.154.166.110:443
01/29/2026-14:29:01.264861  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53246 -> 149.154.166.110:443
01/29/2026-14:29:52.412572  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53248 -> 149.154.166.110:443
01/29/2026-14:30:21.575185  [**] [1:2021076:3] ET HUNTING SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 194.116.104.36:80 -> 10.0.50.11:50902
01/29/2026-14:30:21.575185  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.11:50902
01/29/2026-14:30:42.942696  [**] [1:2021076:3] ET HUNTING SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 194.116.104.36:80 -> 10.0.50.12:59985
01/29/2026-14:30:42.942696  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.12:59985
01/29/2026-14:30:43.555915  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53249 -> 149.154.166.110:443
01/29/2026-14:31:06.707191  [**] [1:2021076:3] ET HUNTING SUSPICIOUS Dotted Quad Host MZ Response [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 194.116.104.36:80 -> 10.0.50.12:59982
01/29/2026-14:31:06.707191  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.12:59982
01/29/2026-14:31:34.748554  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53250 -> 149.154.166.110:443
01/29/2026-14:32:00.497373  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 151.101.242.172:80 -> 10.0.50.11:50929
01/29/2026-14:32:25.817470  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:62056 -> 10.0.40.1:53
01/29/2026-14:32:25.839164  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:62056 -> 10.0.40.1:53
01/29/2026-14:32:25.951688  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53251 -> 149.154.166.110:443
01/29/2026-14:32:53.389180  [**] [1:2014819:5] ET INFO Packed Executable Download [**] [Classification: Misc activity] [Priority: 3] {TCP} 151.101.242.172:80 -> 10.0.50.12:60007
01/29/2026-14:33:17.096559  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53255 -> 149.154.166.110:443
01/29/2026-14:34:08.254603  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53256 -> 149.154.166.110:443
01/29/2026-14:34:59.413086  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53257 -> 149.154.166.110:443
01/29/2026-14:35:50.593847  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53258 -> 149.154.166.110:443
01/29/2026-14:36:06.675981  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.12:60035
01/29/2026-14:36:30.483063  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.11:58303
01/29/2026-14:36:39.947904  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.12:60044
01/29/2026-14:36:41.766452  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53268 -> 149.154.166.110:443
01/29/2026-14:37:32.826571  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:63301 -> 10.0.40.1:53
01/29/2026-14:37:32.948012  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53270 -> 149.154.166.110:443
01/29/2026-14:38:24.118421  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53271 -> 149.154.166.110:443
01/29/2026-14:38:50.529829  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 194.116.104.36:80 -> 10.0.50.12:60029
01/29/2026-14:39:15.303279  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53272 -> 149.154.166.110:443
01/29/2026-14:40:06.482418  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53273 -> 149.154.166.110:443
01/29/2026-14:40:57.663444  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53274 -> 149.154.166.110:443
01/29/2026-14:41:48.813440  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53275 -> 149.154.166.110:443
01/29/2026-14:42:39.856868  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:63301 -> 10.0.40.1:53
01/29/2026-14:42:39.967449  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:53276 -> 149.154.166.110:443
01/29/2026-14:43:31.107764  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:59046 -> 149.154.166.110:443
01/29/2026-14:44:22.241614  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:55299 -> 149.154.166.110:443
01/29/2026-14:45:13.391916  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:61416 -> 149.154.166.110:443
01/29/2026-14:46:04.529359  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:64223 -> 149.154.166.110:443
01/29/2026-14:46:55.701408  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:52470 -> 149.154.166.110:443
01/29/2026-14:47:46.772550  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:63301 -> 10.0.40.1:53
01/29/2026-14:47:46.801482  [**] [1:2033966:2] ET HUNTING Telegram API Domain in DNS Lookup [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.0.40.13:63301 -> 10.0.40.1:53
01/29/2026-14:47:46.890154  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:64887 -> 149.154.166.110:443
01/29/2026-14:48:38.033681  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:55754 -> 149.154.166.110:443
01/29/2026-14:49:29.163745  [**] [1:2033967:2] ET HUNTING Observed Telegram API Domain (api .telegram .org in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.0.40.13:64828 -> 149.154.166.110:443
